date,year,month,region,industry,salary_uah
2021-03-01,2021,3,Україна,Сільське господарство та надання пов'язаних із ними послуг,9647.0
2021-03-01,2021,3,Україна,Виробництво коксу та продуктів нафтоперероблення,17535.0
2021-03-01,2021,3,Україна,"Сільське господарство, лісове господарство та рибне господарство",9956.0
2021-03-01,2021,3,Україна,Виробництво хімічних речовин і хімічної продукції,12711.0
2021-03-01,2021,3,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",9367.0
2021-03-01,2021,3,Україна,Водний транспорт,12917.0
2021-03-01,2021,3,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",13396.0
2021-03-01,2021,3,Україна,Поштова та кур'єрська діяльність,7768.0
2021-03-01,2021,3,Україна,Наукові дослідження та розробки,13770.0
2021-03-01,2021,3,Україна,Охорона здоров'я,11510.0
2021-03-01,2021,3,Україна,"Виробництво машин і устатковання, н.в.і.у.",11988.0
2021-03-01,2021,3,Україна,Тимчасове розміщування й організація харчування,7432.0
2021-03-01,2021,3,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",12080.0
2021-03-01,2021,3,Україна,Переробна промисловість,12349.0
2021-03-01,2021,3,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",7913.0
2021-03-01,2021,3,Україна,Добувна промисловість і розроблення кар'єрів,17932.0
2021-03-01,2021,3,Україна,Фінансова та страхова діяльність,23564.0
2021-03-01,2021,3,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11356.0
2021-03-01,2021,3,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",18790.0
2021-03-01,2021,3,Україна,Промисловість,13855.0
2021-03-01,2021,3,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",11468.0
2021-03-01,2021,3,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",15555.0
2021-03-01,2021,3,Україна,Будівництво,9797.0
2021-03-01,2021,3,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,12665.0
2021-03-01,2021,3,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",12123.0
2021-03-01,2021,3,Україна,"Водопостачання; каналізація, поводження з відходами",10353.0
2021-03-01,2021,3,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",12159.0
2021-03-01,2021,3,Україна,Інформація та телекомунікації,23480.0
2021-03-01,2021,3,Україна,"Виготовлення виробів з деревини, паперу та  поліграфічна діяльність",10526.0
2021-03-01,2021,3,Дніпропетровська,Усього,12914.0
2021-03-01,2021,3,Запорізька,Усього,12897.0
2021-03-01,2021,3,Донецька,Усього,14306.0
2021-03-01,2021,3,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,10565.0
2021-03-01,2021,3,Україна,Освіта,10770.0
2021-03-01,2021,3,Київська,Усього,12946.0
2021-03-01,2021,3,Україна,Операції з нерухомим майном,10138.0
2021-03-01,2021,3,Україна,Усього,12835.0
2021-03-01,2021,3,Україна,"Професійна, наукова та технічна діяльність",17649.0
2021-03-01,2021,3,Україна,Надання інших видів послуг,12219.0
2021-03-01,2021,3,Україна,"Мистецтво, спорт, розваги та відпочинок",11362.0
2021-03-01,2021,3,Україна,Охорона здоров'я та надання соціальної допомоги,11254.0
2021-03-01,2021,3,Івано-Франківська,Усього,10943.0
2021-03-01,2021,3,Україна,Державне управління й оборона; обов'язкове соціальне страхування,15889.0
2021-03-01,2021,3,Львівська,Усього,11376.0
2021-03-01,2021,3,Київ,Усього,18722.0
2021-03-01,2021,3,Одеська,Усього,11370.0
2021-03-01,2021,3,Харківська,Усього,10826.0
2021-03-01,2021,3,Полтавська,Усього,11768.0
2021-04-01,2021,4,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,13390.0
2021-04-01,2021,4,Україна,Авіаційний транспорт,23972.0
2021-04-01,2021,4,Україна,Наземний і трубопровідний транспорт,11836.0
2021-04-01,2021,4,Україна,"Діяльність у сфері творчості, мистецтва та розваг",10273.0
2021-04-01,2021,4,Україна,Добування кам'яного та бурого вугілля,17614.0
2021-04-01,2021,4,Україна,Виробництво електричного устатковання,11254.0
