"Показник","Територіальний розріз","Вид економічної діяльності","Категорія розрізу","Розріз","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04","2026-M05","2026-M06"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Добувна промисловість і розроблення кар'єрів","Стать","Усього","Місячна","17813","17149","17932","18540","18585","18614","18757","18837","18973","18981","18988","19309","","","","","","","","","","","","","19507","19302","19796","","","","","","","","","","24262","24655","25287","25823","25880","25929","26056","26263","26699","26871","26949","27202","29490","29108","29824","30461","30823","31052","31471","31778","32496","32602","32563","32726","33980","32856","33065","33849","34053","34412"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Фінансова та страхова діяльність","Стать","Усього","Місячна","24095","23208","23564","23562","23245","23154","23341","23365","23277","23312","23322","23975","","","","","","","","","","","","","29216","32224","32946","","","","","","","","","","34798","38533","38961","39093","39208","39337","39861","40011","40012","40273","40386","41204","44295","47314","50057","51320","51574","51464","52092","52113","51961","52158","52161","53123","54901","58426","60588","62803","63112","62767"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво харчових продуктів, напоїв і тютюнових виробів","Стать","Усього","Місячна","11145","11085","11356","11506","11670","11786","11954","12008","12069","12167","12268","12448","","","","","","","","","","","","","14832","14637","15009","","","","","","","","","","18333","18197","18540","18912","19182","19317","19505","19651","20390","20655","20918","21347","24521","23862","24160","24306","24618","24710","24928","25088","25231","25597","25853","26162","28856","28508","29044","29194","29455","29712"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Постачання електроенергії, газу, пари та кондиційованого повітря","Стать","Усього","Місячна","18130","17827","18790","18710","18588","18624","18750","18806","19024","19014","18980","19752","","","","","","","","","","","","","21025","20911","21893","","","","","","","","","","25402","24538","24798","26443","26349","26259","26324","26297","26393","26492","26808","27721","30470","29513","31168","31826","31824","31896","32134","32370","32669","32907","33041","33975","35474","34317","35945","36455","36406","36612"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Промисловість","Стать","Усього","Місячна","13374","13285","13855","14008","14065","14172","14323","14414","14523","14569","14614","14902","","","","","","","","","","","","","15846","15942","16538","","","","","","","","","","20052","20038","20486","21177","21399","21552","21769","21935","22263","22482","22735","23241","25986","25551","26245","26693","26943","27129","27403","27594","27854","28086","28246","28722","31084","30638","31570","32014","32308","32712"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції","Стать","Усього","Місячна","10937","11066","11468","11743","11907","12055","12302","12409","12531","12598","12633","12776","","","","","","","","","","","","","11735","12160","12785","","","","","","","","","","16461","16747","17194","17693","18237","18507","18800","19008","19396","19659","19841","20195","23110","22936","23146","23924","24053","24424","24826","24993","25104","25326","25469","25752","27818","27839","28555","28959","29321","29949"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання","Стать","Усього","Місячна","15594","14789","15555","15443","15542","15604","15723","15949","15936","15976","15977","16110","","","","","","","","","","","","","14375","14634","15253","","","","","","","","","","20770","20798","21640","22530","22929","23442","23841","24085","24412","24749","25075","25667","28103","27475","28613","28970","29331","29644","29851","30033","30268","30479","30590","31022","32174","31620","32943","33022","33230","33620"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Будівництво","Стать","Усього","Місячна","9238","9542","9797","10095","10266","10445","10650","10807","10986","11072","11136","11289","","","","","","","","","","","","","9781","9916","10205","","","","","","","","","","14262","14317","14545","14856","15103","15384","15600","15816","16083","16307","16573","16974","19595","19380","19856","20195","20475","20792","21074","21314","21667","21866","21955","22384","22786","22616","22994","23274","23597","24048"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів","Стать","Усього","Місячна","11898","12072","12665","12672","12771","12865","12956","13046","13133","13193","13264","13488","","","","","","","","","","","","","16496","17153","17754","","","","","","","","","","22499","22136","22673","23198","23400","23480","23763","23961","24314","24600","24906","25273","28208","28208","28862","29299","29538","29731","29971","30116","30243","30421","30902","31106","32831","32993","33744","34169","34494","35218"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання","Стать","Усього","Місячна","11655","11764","12123","12324","12389","12496","12648","12735","12862","12915","12963","13139","","","","","","","","","","","","","13651","13597","14008","","","","","","","","","","17841","17975","18313","18774","19030","19285","19547","19754","20028","20286","20577","21073","24779","24213","24358","24755","24821","24898","25094","25167","25434","25589","25658","25983","27541","27162","28014","28674","28874","29180"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Водопостачання; каналізація, поводження з відходами","Стать","Усього","Місячна","10131","10105","10353","10415","10457","10553","10693","10773","10827","10864","10884","11032","","","","","","","","","","","","","13034","12985","13409","","","","","","","","","","15511","15452","15719","15773","15906","15981","16120","16246","16329","16446","16542","16818","17872","17484","17887","17974","18123","18260","18440","18575","18679","18793","18892","19139","21663","21331","21847","21954","22074","22273"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Транспорт, складське господарство, поштова та кур'єрська діяльність","Стать","Усього","Місячна","12210","11970","12159","12419","12567","12636","13008","13263","13398","13512","13585","13837","","","","","","","","","","","","","14275","14155","14491","","","","","","","","","","19140","18812","18928","19375","19674","19964","20318","20560","20710","20972","21125","21633","23873","23684","23747","24038","24145","24366","24685","24847","25158","25430","25541","25925","28013","27456","27701","28090","28304","28674"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Інформація та телекомунікації","Стать","Усього","Місячна","21941","22470","23480","24375","24550","24821","24838","24835","24900","24929","25130","25530","","","","","","","","","","","","","33072","36069","36546","","","","","","","","","","45917","48160","49541","49774","49667","49829","50233","50259","50757","51060","51425","52477","63592","63245","65419","65283","64702","64793","65145","65154","65061","65060","65232","66060","76905","77932","80550","79864","79278","79046"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Виготовлення виробів з деревини, паперу та  поліграфічна діяльність","Стать","Усього","Місячна","10067","10223","10526","10727","10819","10980","11115","11262","11362","11458","11535","11725","","","","","","","","","","","","","12790","13727","14319","","","","","","","","","","15912","16319","16886","17337","17568","17790","18112","18276","18474","18700","18975","19313","20921","21029","21476","21927","22274","22495","22773","22965","23139","23357","23481","23731","24859","24861","25572","26028","26443","26911"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Дніпропетровська","Усього","Стать","Усього","Місячна","12744","12532","12914","12968","13066","13192","13290","13371","13414","13445","13481","13669","","","","","","","","","","","","","14859","15671","15936","","","","","","","","","","19945","19507","19662","20102","20319","20566","20784","21001","21334","21622","21880","22233","24429","24188","24647","24925","25150","25483","25755","25880","26048","26228","26717","26803","27791","27653","28279","28653","28962","29629"
